0	吃海鮮，天氣超好，人爆多，祝大家Happy monter's day
1	開好久，超塞車的!
2	看電視介紹打卡記錄，有機會可以去
3	喝晚茶!
4	null
5	好多人，人擠人熱死了！
來探探路(￣?￣)
6	吃飯飯了！
7	路過……╮(╯_╰)╭
辛苦的警察
不死心的民眾
發財的生意人
全部聚集在這裡!
8	Good morning !
9	今天也有認真喔！
下課回家囉
10	下課回家囉！
以後繼續認真,(≧3≦) go go go!
11	今天一樣，早安，台北!
(￣?￣)
12	早安，台北( ’▽` )?
13	悠閒的下午茶， 謝謝吳專員泡的咖啡喔！
14	清明掃墓囉！
15	好吃的牛排!
16	打卡送可樂呦！
17	晚餐，開動囉！
18	開唱了喔！！
好大的包箱喔！
19	昨天睡不好，心情Downing…
20	家庭聚餐囉，好好吃哦！
21	廠商春酒，席開百桌!
22	低溫的半夜，超熱血的(≧?≦)
帶著兩個老人家去看“鐵獅玉玲瓏
現在偶要晚安了！(-_-) zzz
23	拜天公，求平安！
24	不是飯吃飽，是零食吃好飽!
抽到獎比較重要！
25	什麼爛點子，好無趣的表演，我想睡午覺！
26	到了！今天的盛會！
27	吃廠商尾牙呦！
謝謝所長的邀請。
28	今天晚上真的十全烏骨雞好澎湃哦…好補！
謝謝主任的邀請。。
29	美好的下午就該如此才對！
30	null
31	聚餐囉！
超飽…………ing!
32	好好吃！
33	今天的天氣很好，太陽公公好可愛！
34	祝福你們喔！
（哈……剛才忘了連新人一起打卡，現在補上一下）
35	今天真的很冷，但是還是要不怕留鼻水……嘻嘻！
36	祝新人幸福美滿哦！
37	我來了……傳說中高雄最大的夜市＆吃土盆栽……哈！
38	吃蕃茄囉！
39	金山、九份文化之員工旅遊
40	金山吃鴨肉，好久沒來了！
41	看完電影，放飯了
42	今天是怎樣的日子呀？！
怎麼爆多人看電影呀！
我跟我可愛的阿媽來看早鳥場……哈
43	開飯了！
44	null
45	大溪天氣超好！
拜拜順便曬曬太陽哦！
46	大家早安！
工作真的有累到，早上哈欠打不停，眼睛沒有爭全開！
睡不飽！
47	敏愉，我也要學你吃韓國料理……哈哈！
48	客戶服務囉！！
49	我是早起鳥兒萬步走～Go Go Go!!
50	喬傑生日快樂哦！
51	開喝了！
好high哦！
52	客戶服務！！
53	我的心肝寶貝生病了要住院檢查，嗚…………不……希望是誤會一場！
54	null
55	今天的我！！
Very good!
56	VIP室 咖啡饗宴
57	吃喜宴囉！
又到了紅色炸彈的季節了！
58	一個人的午餐。
感謝阿姐的愛心！
59	null
60	比基尼辣妹來囉！
61	秋蟹好味道！！
62	M3好好看喔！也很好開耶！
有朋友想買找我喔！絕對有優惠。
63	超好吃的芭樂＆菜脯紅豆餅
謝謝梅子姨的愛心晚餐！！
64	真的滿好逛的，而且剛好是週年慶～哈哈！！
65	大家早安……
嘻︿～︿……我在那裡呀？！
66	最最最……厲害的燉12小時的招牌雞湯＆噴火火山圓鱈頭……噢麥尬，真的太好吃又營養了！
67	真的好好吃！
68	哇…超漂亮又好吃的創意菜，真的很特別呦！
69	DIY手作南瓜披薩呦！
70	放大版的糖葫蘆＆可愛的小童子！啾～
71	今天第一站
我來了！
72	逛夜市囉！
懷念一下！
73	我化身為原住民公主
還有我的手工吊飾“大豐收”！！
74	公司旅遊……出發囉！！
75	喝咖啡吹冷氣囉
悠閒的星期六！！
76	有誰要托我買東西呀？！
快喔！只限中壢的朋友們
77	就是要喝星巴克！！
78	偶來了！
79	喝下午茶囉！
80	天氣很好呦！
81	下午茶時間到囉！！風好舒爽……呦！
82	天氣好好喔！心情好！
83	好緊張
84	晚餐！
85	晚餐中！！
86	吃消夜！
87	吃喜宴
88	下午茶時間到了！
89	爆多人……排隊等爆久的
90	今天天氣晴 心情晴！！
91	早起爬山身體好……
92	早安呦！
93	喝一下！
94	我的午餐，開動了！
95	吃消夜囉！
96	車好多！
97	單身美女終於出嫁了，一定會幸福美滿滴！
98	美麗的幸福莊園...
99	我變瘦了……嗚！
100	謝謝阿佩哥的愛心呦！
101	謝謝阿佩哥的愛心呦！
102	噢…花錢消災……Good
103	吃飯囉！
104	飽爆了！
105	超多人好熱鬧 ，很有古早味喔！
106	熱死了……天氣爆好的
107	進香囉！
108	第一站 休息一下囉！
109	早安，出發囉！
110	好可愛的店喔！
111	超新鮮又好吃
112	Go~出遊去
113	看吧！我漂亮的手（；＿；）
114	尾牙囉
115	今天很認真，連續上兩堂課，手好酸喔！
116	null
117	新的2013 新的髮型呦！
118	null
119	null
120	null
121	新店開幕，超熱鬧的陣容，超可愛的電音三太子
122	今天是星期三吧??像假日一樣人多到爆
123	好吃的來囉!
124	來上課囉
125	運動完要回家囉!
126	哇，今天的喜宴菜單真的是很豐富呦!
有大秋蟹.大干貝...還有蟹肉羹 真的是很多海鮮...
127	到半路了，繼續向雪隧前進囉
128	飯後來一杯星巴克真好!
我的小7city裝大杯剛剛好!
129	健身房裡真的可以常常看到身材很好的猛男耶!
偷看了一下真的會有臉紅的fu喔!
CC.....:P — 在 World Gym 世界健身 中壢分館 。
130	好好喝，真的好喝喔!
131	這裡超多可怕的小惡魔呦！
132	出發囉
133	真的後悔跟一個無聊的人
134	吃喜宴囉!菜好像看起來很棒喔!
135	吃喜宴喔!
136	null
137	我真的是頭殼壞了，我居然到了客戶家才發現我要給的東西忘記帶‧‧‧‧‧‧我真的會被自己氣死‧‧‧((((；???)))))))噢‧‧‧‧
138	null
139	又甜又香的有機水果玉米，超好吃?(＠???＠)?
謝謝親愛的阿箱阿姨辛苦種的愛心！
140	寶貝車看診中‧‧‧‧
中午時刻”等待”總是另人很想睡覺(@￣ρ￣@)
141	醫院真的很大會迷路
142	null
143	相聚歡，哈!
144	菜很好喔...烤大蝦呦!
145	null
146	恭喜新娘子
147	買飯
148	買飯糰
149	打工中....
150	null
151	晚會開始囉...肚子好飽喔!
152	貼一下囉!
153	打卡
154	GO 了
155	null
156	我今天連跳兩堂很認真
157	做完運動要回家囉
158	剛才很認真的跳完BODYJAM，我是啵棒的早鳥 ....啾
159	null
160	null
161	null
162	null
163	null
164	null
165	null
166	吃晚飯....
167	喝咖啡囉
168	null
169	null
170	null
171	null
172	跳躍的我...
173	null
174	夕陽無限好....
175	null
176	null
177	null
178	null
179	null
180	null
181	好美的景色
182	星期六的晚上居然是如此冷清的休息站
183	排隊一下還好人沒很多
184	陪老公&小孩吃早餐
185	這下車就濕透了吧！坐著等等
186	泡泡腳
187	吃冰棒
188	吃飯了
189	真好，平日真悠閒
190	早上帶兩個寶貝去Ikea吃早餐，兒子吃飽去球屋玩一個小時，姐姐寫功課我呢看書準備１２號考試題目，接著還是吃午餐，接著送姐姐上Diy點心班!
我隱形眼鏡不見快一個月上個禮拜日老公帶我去結果他們休息，於是今天我又帶著兒子到莊敬路配隱形眼鏡，緊接著在坐公車到大同親子館，兒子五點結束我在回點心班接小公主！晚上６：３０再去基督書院看亞東劇團的戲劇真是…真是個好充實的星期六
191	吃火鍋
192	哇！跟老公的廠商吃飯，還這麼多菜，不過已經甲霸啦
193	天天都是玩火車
194	花十元找樂子
195	玩石頭Part2，兩個寶貝愛上玩石頭
196	洗好香香啦！小孩還要看魚，都不會累，可是我累了啦！
197	玩石頭
198	好熱喔！吃個涼快的
199	帶兩個寶貝吃早餐
200	評估居然整場有七位老師，兒子表現很棒喔！
201	準備下課準備下一堂課程今天真忙
202	甜蜜下午茶
203	好冷，吃火鍋
204	好冷來上課運動啦！
205	陪兒子玩耍
206	帶寶貝吃早餐
207	感謝主，請各位弟兄姐妹幫我外婆劉翁春燕代禱，外婆在上個月１６日摔倒至今兩腿疼痛到無法行走在雙和醫院急診室中準備住院，請各位幫忙代禱求神醫治的大能醫治外婆的雙腳
208	玩累了，逛累了，吃飽了，真是享受人生
209	跟老公來晃晃順便吃晚餐
210	來外婆家拜年
211	晚餐吃這個啦！
212	我們都是小幫手
213	野餐順便曬太陽
214	帶大公主小王子來玩玩+拍照
215	來跑一跑
216	來曬太陽
217	來好朋友這，變美美ing
218	玫瑰小組聚餐
219	小可愛
220	吃午餐
221	謝謝臺北醫院老師送的聖誕節禮物
222	運動一下
223	晚餐時間
224	我們是可愛藝術家
225	聖誕節活動Diy馬賽克
226	晚上耶誕節晚會，準備中
227	null
228	皓文耶誕節表演，準備中！
229	感謝主，今天一切真是美好
230	聽詩歌過耶誕
231	吃午餐
232	這隻柴犬寶貝在找爸爸媽媽喔！有想要要領養的告訴我
233	吃午餐
234	吃晚餐啦
235	跟老公拍一下
236	談完生意來吹吹風
237	幸運的９：５９，吃早餐送咖啡是到１３日結束，不過請注意是要在十點前結帳才有此優惠喔
238	失夢者記事
239	從小培養音樂素養
240	皓婷寶貝運動會
241	跟老公兒子提早來看聖誕老人爬樹
242	等等還要看醫生先運動一下
243	null
244	大家一起來歡迎我們的黑妹
245	萬聖節走秀
246	孩子們玩蛇板
247	聽故事
248	遇見彩虹，今天談的事情擁有主的祝福！
249	玫瑰小組聚餐&泡湯
250	null
251	大人小孩都來跟醫師聊聊天
252	騎卡打恰
253	劉牧師來吃飯聊神的話
254	姐姐嫁女兒
255	三十二周年義賣開始
256	吃午餐
257	和好朋友一起用餐
258	以為開幕了結果還沒下禮拜再來吧
259	老闆娘請喝咖啡談生意
260	帶弟弟來玩
261	女兒跟老公去Baby Boss我跟兒子來這裡玩
262	兒子想吃，所以來了
263	中場吃點心
264	好看的信值得再看「天堂邊緣」
265	來散散步
